CODIGO,DESCRIPCION,CALIDAD,COLOR,PRECIO_1,PRECIO_2
"HUGO SHOP DISPLAYS
Eje central # 87 Local 2-3, Col. Centro, Cuauhtémoc, CP: 06000 CDMX",,,,,
COTIZACIONES AL WHATSAPP 55 7849 4329,,,,,
ALCATEL,,,,,
AL524,5024,ORIG S/M,NEGRO,$208.00,$189.00
AL528,5028,ORIG S/M,NEGRO,$196.00,$178.00
AL503,5030 1SE,ORIG S/M,NEGRO,$185.00,$168.00
CUBOT,,,,,
OTKING8,KINGKONG 8,ORIG S/M,NEGRO,$265.00,$240.00
OTKING9,KINGKONG 9,ORIG S/M,NEGRO,$306.00,$278.00
OTP80,P80,ORIG S/M,NEGRO,$263.00,$239.00
GOOGLE,,,,,
PI7pro,Pixel 7Pro,OLED S/M,NEGRO,$863.00,$784.00
PI7,Pixel 7,OLED S/M,NEGRO,"$1,200.00","$1,098.00"
PI6pro,Pixel 6 Pro,OLED S/M,NEGRO,$875.00,$795.00
HISENSE,,,,,
A0310,E30,ORIG S/M,NEGRO,$210.00,$190.00
A0055,E50 LITE,ORIG S/M,NEGRO,$185.00,$168.00
A0005,E50i,ORIG S/M,NEGRO,$201.00,$182.00
A0550,E50S,ORIG S/M,NEGRO,$228.00,$205.00
A0610,E60,ORIG S/M,NEGRO,$305.00,$275.00
A0060,E60 LITE,ORIG S/M,NEGRO,$203.00,$185.00
A0220,F20,ORIG S/M,NEGRO,$205.00,$185.00
A0230,F23,ORIG S/M,NEGRO,$210.00,$190.00
A0030,H30 LITE,ORIG S/M,NEGRO,$205.00,$187.00
A0444,H40,ORIG S/M,NEGRO,$260.00,$237.00
A0040,H40 LITE/E40/V40,ORIG S/M,NEGRO,$201.00,$182.00
A0555,H50,ORIG S/M,NEGRO,$187.00,$170.00
A0050,H50 LITE/E50,ORIG S/M,NEGRO,$193.00,$175.00
A0066,H60 LITE,ORIG S/M,NEGRO,$310.00,$280.00
H0505,U50 4G,ORIG S/M,NEGRO,$270.00,$240.00
A0411,V40S,ORIG S/M,NEGRO,$205.00,$185.00
A0511,V50,ORIG S/M,NEGRO,$225.00,$203.00
A0611,V60/E60,ORIG S/M,NEGRO,$290.00,$268.00
HONOR,,,,,
W1010,10,ORIG S/M,NEGRO,$185.00,$168.00
W0070,70,OLED S/M,NEGRO,$698.00,$635.00
W0090+F,90,ORIG C/M(BOUTIQUE),NEGRO,"$1,450.00","$1,300.00"
W0090,90,ORIG S/M,NEGRO,$970.00,$880.00
W1100+F,10 LITE,ORIG C/M(BOUTIQUE),NEGRO,$306.00,$278.00
W1100-COF,10 LITE,ORIG COF S/M,NEGRO,$265.00,$240.00
W1100-COG,10 LITE,COG S/M,NEGRO,$200.00,$178.00
W0550,50 LITE/NOVA 8i,ORIG S/M,NEGRO,$246.00,$223.00
WH40LITE,HONOR 400 Lite,ORIG S/M,NEGRO,$572.00,$520.00
W0088+F,8X/9X LITE,ORIG C/M(BOUTIQUE),NEGRO,$277.00,$251.00
W0088-COG,8X/9X LITE,COG S/M,NEGRO,$195.00,$175.00
W0088-COF,8X/9X LITE,COF S/M,NEGRO,$225.00,$204.00
W0505+F,X5,ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
W0505,X5,ORIG S/M,NEGRO,$151.00,$137.00
WX5C,X5C,ORIG S/M,NEGRO,$229.00,$208.00
W0606+F,X6,ORIG C/M(BOUTIQUE),NEGRO,$258.00,$234.00
W0066+F,X6A,ORIG C/M(BOUTIQUE),NEGRO,$223.00,$202.00
W0066,X6A/X50 PRO/X5 PLUS,ORIG S/M,NEGRO,$162.00,$147.00
WX6B,X6B,ORIG S/M,NEGRO,$153.00,$139.00
WX6B+F,X6B,ORIG C/M (BOUTIQUE),NEGRO,$242.00,$219.00
WX6C,X6C,ORIG S/M,NEGRO,$181.00,$164.00
W0707+F,X7,ORIG C/M(BOUTIGUE),NEGRO,$246.00,$223.00
W0707,X7,ORIG S/M,NEGRO,$149.00,$135.00
W0077+F,X7A,ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
W0077,X7A,ORIG S/M,NEGRO,$162.00,$147.00
W1177+F,X7B,ORIG C/M(BOUTIQUE),NEGRO,$294.00,$267.00
W1177,X7B,ORIG S/M,NEGRO,$205.00,$186.00
WX7C,X7C,ORIG S/M,NEGRO,$176.00,$160.00
WX7C+F,X7C,CARTAN ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
WOX7D,"X7D (4G/5G)/Play 70plus/Play 70MPlus/Honor
400 smart",ORIG S/M,NEGRO,$193.00,$175.00
W8000+F,X8,ORIG C/M(BOUTIQUE),NEGRO,$278.00,$252.00
W8000,X8,ORIG S/M,NEGRO,$180.00,$163.00
W1818+F,X8A,ORIG C/M(BOUTIQUE),NEGRO,$306.00,$278.00
W1818,X8A 4G/X50i/90 LITE,ORIG S/M,NEGRO,$181.00,$164.00
W0805,X8A 5G/X6,ORIG S/M,NEGRO,$179.00,$162.00
W1188+F,X8B,ORIG C/M(BOUTIQUE),NEGRO,$740.00,$672.00
W1188,X8B,ORIG S/M,NEGRO,$512.00,$465.00
WX8C+F,X8C,ORIG C/M(BOUTIQUE),NEGRO,$633.00,$575.00
WX8C,X8C,CARTAN ORIG S/M,NEGRO,$524.00,$476.00
W0909+F,X9,ORIG C/M(BOUTIQUE),NEGRO,$390.00,$355.00
W0909,X9,ORIG S/M,NEGRO,$197.00,$179.00
W9090+F/g,X9A,ORIG C/M(BOUTIQUE),VERDE,$766.00,$696.00
W9090+F/S,X9A,ORIG C/M(BOUTIQUE),PLATEADO,$766.00,$696.00
W9090+F,X9A,ORIG C/M(BOUTIQUE),NEGRO,$766.00,$696.00
W9090,X9A/MAGIC5 LITE,ORIG S/M,NEGRO,$652.00,$592.00
W1199+F,X9B,ORIG C/M(BOUTIQUE),NEGRO,$923.00,$839.00
W1199,X9B/Magic 6,ORIG S/M,NEGRO,$718.00,$652.00
WX9C60P,X9C / X60PRO,ORIG S/M,NEGRO,$657.00,$597.00
WMAC7,MAGIC 7,ORIG S/M,NEGRO,"$1,310.00","$1,190.00"
HUAWEI,,,,,
W0010,MATE 10,ORIG S/M,NEGRO,$360.00,$328.00
W0999+F,MATE 9,ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
W0999,MATE 9,ORIG S/M,NEGRO,$173.00,$157.00
W0002+F,MATE10 LITE,ORIG C/M(BOUTIQUE),NEGRO,$209.00,$190.00
W0002,MATE10 LITE,ORIG S/M,NEGRO,$152.00,$138.00
W0101,MATE10 PRO,INCELL S/M,NEGRO,$173.00,$157.00
W0222,MATE20,INCELL S/M,NEGRO,$398.00,$362.00
W0012+F,MATE20 LITE,ORIG C/M(BOUTIQUE),NEGRO,$216.00,$196.00
W0012,MATE20 LITE,ORIG S/M,NEGRO,$161.00,$146.00
W0200,MATE20 PRO,INCELL S/M,NEGRO,$240.00,$218.00
W0011,NOVA 10,ORIG S/M,NEGRO,$361.00,$328.00
W0121+F,NOVA 5T,ORIG C/M(BOUTIQUE),NEGRO,$385.00,$350.00
W0888+F,NOVA 8,AMOLED C/M(ROUTIQUE),NEGRO,$707.00,$642.00
W0004+F,NOVA Y60,ORIG C/M(BOUTIQUE),NEGRO,$265.00,$242.00
W0004,NOVA Y60,ORIG S/M,NEGRO,$200.00,$182.00
W0020+F,NOVA Y70,ORIG C/M(BOUTIQUE),NEGRO,$265.00,$242.00
W0020,NOVA Y70,ORIG S/M,NEGRO,$152.00,$138.00
W1414+F,NOVA Y90,ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
W1414,NOVA Y90,ORIG S/M,NEGRO,$167.00,$151.00
W0100+F,NOVA10 SE,ORIG C/M(BOUTIQUE),NEGRO,$725.00,$658.00
W0100,NOVA10 SE/NOVA11 SE/NOVA12 SE,ORIG S/M,NEGRO,$659.00,$599.00
W0300+F,NOVA3,ORIG C/M(BOUTIQUE),NEGRO,$320.00,$290.00
W0300,NOVA3,INCELL S/M,NEGRO,$188.00,$170.00
W0121-COF,NOVA5T/HONOR20,ORIG COF S/M,NEGRO,$239.00,$217.00
W0121-COG,NOVA5T/HONOR20,COG S/M,NEGRO,$173.00,$157.00
W0888,NOVA8,AMOLED S/M(CURVO),NEGRO,$720.00,$648.00
W1212+F,NOVA9 SE,COG C/M(BOUTIQUE),NEGRO,$273.00,$248.00
W1212-COG,NOVA9 SE/N0VA 11i,COG S/M,NEGRO,$173.00,$157.00
W0911,NOVA9/HONOR50,AMOLED S/M(CURVO),NEGRO,$738.00,$672.00
W0666+F,P SMART 2018,ORIG C/M,NEGRO,$216.00,$196.00
W0666-COF,P SMART 2018,ORIG COF S/M,NEGRO,$170.00,$153.00
02352HTF,P smart 2019,ORIG C/M C/PILAS,NEGRO,$340.00,$315.00
W0029+F,P SMART 2019,ORIG C/M(BOUTIQUE),NEGRO,$255.00,$235.00
