CODIGO,DESCRIPCION,CALIDAD,COLOR,PRECIO_1,PRECIO_2
ALCATEL,,,,,
AL524,5024,ORIG S/M,NEGRO,$208.00,$189.00
AL528,5028,ORIG S/M,NEGRO,$196.00,$178.00
AL503,5030 1SE,ORIG S/M,NEGRO,$185.00,$168.00
CUBOT,,,,,
OTKING8,KINGKONG 8,ORIG S/M,NEGRO,$265.00,$240.00
OTKING9,KINGKONG 9,ORIG S/M,NEGRO,$306.00,$278.00
OTP80,P80,ORIG S/M,NEGRO,$234.00,$212.00
GOOGLE,,,,,
PI7pro,Pixel 7Pro,OLED S/M,NEGRO,$863.00,$784.00
PI7,Pixel 7,OLED S/M,NEGRO,$1200.00,$1098.00
PI6pro,Pixel 6 Pro,OLED S/M,NEGRO,$875.00,$795.00
HISENSE,,,,,
A0310,E30,ORIG S/M,NEGRO,$210.00,$190.00
A0055,E50 LITE,ORIG S/M,NEGRO,$185.00,$168.00
A0005,E50i,ORIG S/M,NEGRO,$201.00,$182.00
A0550,E50S,ORIG S/M,NEGRO,$228.00,$205.00
A0030,H30 LITE,ORIG S/M,NEGRO,$205.00,$187.00
A0444,H40,ORIG S/M,NEGRO,$260.00,$237.00
A0050,H50 LITE/E50,ORIG S/M,NEGRO,$193.00,$175.00
A0066,H60 LITE,ORIG S/M,NEGRO,$310.00,$280.00
H0505,U50 4G,ORIG S/M,NEGRO,$270.00,$240.00
HONOR,,,,,
W1010,10,ORIG S/M,NEGRO,$185.00,$168.00
W0070,70,OLED S/M,NEGRO,$698.00,$635.00
W0090+F,90,ORIG C/M(BOUTIQUE),NEGRO,$1450.00,$1300.00
W0090,90,ORIG S/M,NEGRO,$970.00,$880.00
W1100+F,10 LITE,ORIG C/M(BOUTIQUE),NEGRO,$306.00,$278.00
W0550,50 LITE/NOVA 8i,ORIG S/M,NEGRO,$246.00,$223.00
WH2005G,HONOR 200 5G,OLED S/M,NEGRO,$712.00,$646.00
WH40LITE,HONOR 400 Lite,ORIG S/M,NEGRO,$572.00,$520.00
W0088+F,8X/9X LITE,ORIG C/M(BOUTIQUE),NEGRO,$277.00,$251.00
W0088-COF,8X/9X LITE,COF S/M,NEGRO,$216.00,$196.00
W0505+F,X5,ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
W0505,X5,ORIG S/M,NEGRO,$143.00,$130.00
WX5C,X5C,ORIG S/M,NEGRO,$174.00,$158.00
W0606+F,X6,ORIG C/M(BOUTIQUE),NEGRO,$258.00,$234.00
W0066+F,X6A,ORIG C/M(BOUTIQUE),NEGRO,$223.00,$202.00
W0066,X6A/X50 PRO/X5 PLUS,ORIG S/M,NEGRO,$145.00,$131.00
WX6B,X6B,ORIG S/M,NEGRO,$144.00,$131.00
WX6B+F,X6B,ORIG C/M (BOUTIQUE),NEGRO,$242.00,$219.00
WX6C,X6C,ORIG S/M,NEGRO,$181.00,$164.00
W0707+F,X7,ORIG C/M(BOUTIGUE),NEGRO,$246.00,$223.00
W0707,X7,ORIG S/M,NEGRO,$149.00,$135.00
W0077+F,X7A,ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
W0077,X7A,ORIG S/M,NEGRO,$162.00,$147.00
W1177+F,X7B,ORIG C/M(BOUTIQUE),NEGRO,$294.00,$267.00
W1177,X7B,ORIG S/M,NEGRO,$174.00,$158.00
WX7C,X7C,ORIG S/M,NEGRO,$169.00,$153.00
WX7C+F,X7C CARTAN,ORIG C/M(BOUTIQUE),NEGRO,$240.00,$218.00
W0X7D,Honor 400 smart,ORIG S/M,NEGRO,$169.00,$153.00
W8000,X8,ORIG S/M,NEGRO,$164.00,$149.00
W1818+F,X8A,ORIG C/M(BOUTIQUE),NEGRO,$306.00,$278.00
W1818,X8A 4G/X50i/90 LITE,ORIG S/M,NEGRO,$173.00,$157.00
W0805,X8A 5G/X6,ORIG S/M,NEGRO,$179.00,$162.00
W1188+F,X8B,ORIG C/M(BOUTIQUE),NEGRO,$740.00,$672.00
W1188,X8B,ORIG S/M,NEGRO,$512.00,$465.00
WX8C+F,X8C,ORIG C/M(BOUTIQUE),NEGRO,$633.00,$575.00
WX8C,X8C CARTAN,ORIG S/M,NEGRO,$524.00,$476.00
W0909+F,X9,ORIG C/M(BOUTIQUE),NEGRO,$390.00,$355.00
W9090+F/g,X9A,ORIG C/M(BOUTIQUE),VERDE,$766.00,$696.00
W9090+F,X9A,ORIG C/M(BOUTIQUE),NEGRO,$766.00,$696.00
W9090,X9A/MAGIC5 LITE,ORIG S/M,NEGRO,$597.00,$542.00
W1199+F,X9B,ORIG C/M(BOUTIQUE),NEGRO,$923.00,$839.00
W1199,X9B/Magic 6,ORIG S/M,NEGRO,$706.00,$641.00
WX9C60P,X9C / X60PRO,ORIG S/M,NEGRO,$651.00,$591.00
HMX9D,X70/X9D/MAGIC8 LITE,SOFT OLED S/M(BOUTIQUE),NEGRO,$809.00,$735.00
